date,PG_PRC,PG_DIV,MSFT_PRC,MSFT_DIV,AAPL_PRC,AAPL_DIV
1999-12-31,31.7005,0.0,37.3418,0.0,0.7931,0.0
2000-01-31,29.3231,0.32,31.3032,0.0,0.8004,0.0
2000-02-29,25.4887,0.0,28.5845,0.0,0.8842,0.0
2000-03-31,16.4598,0.0,33.9835,0.0,1.0477,0.0
2000-04-28,17.4138,0.32,22.3091,0.0,0.9571,0.0
2000-05-31,19.3811,0.0,20.0095,0.0,0.648,0.0
2000-06-30,16.5395,0.0,25.5876,0.0,0.8082,0.0
2000-07-31,16.7107,0.35,22.3283,0.0,0.784,0.0
2000-08-31,18.1267,0.0,22.3283,0.0,0.9403,0.0
2000-09-29,19.6424,0.0,19.2898,0.0,0.3973,0.0
2000-10-31,21.0422,0.35,22.0277,0.0,0.3018,0.0
2000-11-30,22.0555,0.0,18.3527,0.0,0.2546,0.0
2000-12-29,23.104,0.0,13.8749,0.0,0.2296,0.0
2001-01-31,21.2656,0.35,19.5297,0.0,0.3336,0.0
2001-02-28,20.8689,0.0,18.8708,0.0,0.2816,0.0
2001-03-30,18.5304,0.0,17.4923,0.0,0.3405,0.0
2001-04-30,17.8839,0.35,21.6695,0.0,0.3933,0.0
2001-05-31,19.1317,0.0,22.1268,0.0,0.3078,0.0
2001-06-29,19.0007,0.0,23.3486,0.0,0.3587,0.0
2001-07-31,21.2671,0.38,21.1705,0.0,0.2899,0.0
2001-08-31,22.2044,0.0,18.2471,0.0,0.2862,0.0
2001-09-28,21.7971,0.0,16.3664,0.0,0.2393,0.0
2001-10-31,22.2139,0.38,18.599,0.0,0.2709,0.0
2001-11-30,23.3218,0.0,20.5372,0.0,0.3286,0.0
2001-12-31,23.8247,0.0,21.1897,0.0,0.3379,0.0
2002-01-31,24.71,0.38,20.3773,0.0,0.3814,0.0
2002-02-28,25.6508,0.0,18.6597,0.0,0.3348,0.0
2002-03-28,27.2542,0.0,19.2898,0.0,0.3652,0.0
2002-04-30,27.4208,0.38,16.7151,0.0,0.3745,0.0
2002-05-31,27.2051,0.0,16.2833,0.0,0.3595,0.0
2002-06-28,27.1291,0.0,17.4955,0.0,0.2734,0.0
2002-07-31,27.1734,0.41,15.3461,0.0,0.2354,0.0
2002-08-30,27.0696,0.0,15.698,0.0,0.2276,0.0
2002-09-30,27.2925,0.0,13.99,0.0,0.2237,0.0
2002-10-31,27.1308,0.41,17.1021,0.0,0.2479,0.0
2002-11-29,25.9284,0.0,18.4486,0.0,0.2392,0.0
2002-12-31,26.3609,0.0,16.536,0.0,0.2211,0.0
2003-01-31,26.3739,0.41,15.1798,0.0,0.2216,0.0
2003-02-28,25.2304,0.0,15.2101,0.08,0.2316,0.0
2003-03-31,27.4464,0.0,15.5374,0.0,0.2182,0.0
2003-04-30,27.8193,0.41,16.4102,0.0,0.2194,0.0
2003-05-30,28.4293,0.0,15.7941,0.0,0.277,0.0
2003-06-30,27.6119,0.0,16.4551,0.0,0.2941,0.0
2003-07-31,27.346,0.455,16.9493,0.0,0.3252,0.0
2003-08-29,27.1655,0.0,17.0199,0.0,0.3489,0.0
2003-09-30,28.8865,0.0,17.8413,0.0,0.3197,0.0
2003-10-31,30.7349,0.455,16.8683,0.16,0.3532,0.0
2003-11-28,30.0939,0.0,16.5909,0.0,0.3226,0.0
2003-12-31,31.2321,0.0,17.6621,0.0,0.3297,0.0
2004-01-30,31.7524,0.455,17.8427,0.0,0.3481,0.0
2004-02-27,32.2016,0.0,17.12,0.0,0.3691,0.0
2004-03-31,32.9461,0.0,16.0875,0.0,0.4172,0.0
2004-04-30,33.3798,0.5,16.8619,0.0,0.3978,0.0
2004-05-28,34.0332,0.0,16.9264,0.0,0.4329,0.0
2004-06-30,34.3678,0.0,18.43,0.0,0.5021,0.0
2004-07-30,33.0767,0.25,18.3848,0.0,0.499,0.0
2004-08-31,35.4996,0.0,17.6686,0.08,0.5322,0.0
2004-09-30,34.3262,0.0,17.8952,0.0,0.5979,0.0
2004-10-29,32.613,0.25,18.1023,0.0,0.8085,0.0
2004-11-30,34.0786,0.0,19.3027,3.08,1.0345,0.0
2004-12-31,35.0982,0.0,19.2379,0.0,0.9936,0.0
2005-01-31,34.0689,0.25,18.9211,0.0,1.1865,0.0
2005-02-28,33.9793,0.0,18.1706,0.08,1.3843,0.0
2005-03-31,33.9217,0.0,17.4556,0.0,1.2859,0.0
2005-04-29,34.8395,0.28,18.2717,0.0,1.1128,0.0
2005-05-31,35.4829,0.0,18.6913,0.08,1.2269,0.0
2005-06-30,33.9388,0.0,17.9958,0.0,1.1359,0.0
2005-07-29,35.9739,0.28,18.5536,0.0,1.3161,0.0
